Rk,Player,Tm,FantPos,Age,G,GS,Cmp,PsAtt,PsYds,PsTD,Int,RsAtt,RsYds,Y/A,RsTD,Tgt,Rec,RcYds,Y/R,RcTD,Fmb,FL,TotTD,2PM,2PP,FantPt,PPR,PosRank,OvRank
519,ChristineMichael,IND,RB,28,1,0,0,0,0,0,0,2,9,4.50,0,0,0,0,0,0,0,0,0,0,0,1,0.9,147,0
520,JohnnyMundt,LAR,TE,24,10,0,0,0,0,0,0,0,0,0,0,1,1,5,5.00,0,0,0,0,0,0,1,1.5,112,0
521,JamizeOlawale,DAL,RB,29,16,4,0,0,0,0,0,0,0,0,0,4,2,13,6.50,0,0,0,0,0,0,1,3.3,143,0
522,RickyOrtiz,ATL,RB,24,12,9,0,0,0,0,0,0,0,0,0,4,3,11,3.67,0,0,0,0,0,0,1,4.1,145,0
523,CamPhillips,BUF,WR,23,2,0,0,0,0,0,0,0,0,0,0,1,1,9,9.00,0,0,0,0,0,0,1,1.9,197,0
524,RichardRodgers,PHI,TE,26,7,0,0,0,0,0,0,0,0,0,0,1,1,7,7.00,0,0,0,0,0,0,1,1.7,110,0
525,DionSims,CHI,TE,27,8,4,0,0,0,0,0,0,0,0,0,4,2,9,4.50,0,0,0,0,0,0,1,2.9,109,0
526,HakeemValles,DET,TE,26,3,0,0,0,0,0,0,0,0,0,0,3,2,11,5.50,0,0,0,0,0,0,1,3.1,107,0
527,JustinWatson,TAM,WR,22,12,0,0,0,0,0,0,0,0,0,0,3,1,5,5.00,0,0,0,0,0,0,1,1.5,205,0
528,DerekWatt,LAC,RB,26,16,5,0,0,0,0,0,4,11,2.75,0,1,1,2,2.00,0,0,0,0,0,0,1,2.3,144,0
529,JoeWebb,HOU,WR,32,16,0,0,0,0,0,0,0,0,0,0,3,2,13,6.50,0,0,0,0,0,0,1,3.3,192,0
530,TimWhite,BAL,WR,24,3,0,0,0,0,0,0,0,0,0,0,1,1,14,14.00,0,1,0,0,0,0,1,2.4,191,0
534,JehuChesson,WAS,WR,25,12,0,0,0,0,0,0,1,-4,-4.00,0,2,1,7,7.00,0,0,0,0,0,0,0,1.3,206,0
558,DeAngeloHenderson,NYJ,RB,26,3,0,0,0,0,0,0,2,19,9.50,0,0,0,0,0,0,1,1,0,0,0,0,-0.1,166,0
561,DarriusHeywardBey,PIT,WR,31,14,2,0,0,0,0,0,1,-7,-7.00,0,2,1,9,9.00,0,0,0,0,0,0,0,1.2,207,0
567,ChadKelly,DEN,QB,24,1,0,0,0,0,0,0,1,-1,-1.00,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,70,0
572,SeanMannion,LAR,QB,26,3,0,2,3,23,0,0,7,-9,-1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0
575,AJMcCarron,OAK,QB,28,2,0,1,3,8,0,0,3,-2,-0.67,0,0,0,0,0,0,1,0,0,0,0,0,0.1,66,0
578,JeremyMcNichols,IND,RB,23,1,0,0,0,0,0,0,2,4,2.00,0,0,0,0,0,0,0,0,0,0,0,0,0.4,150,0
588,MarkSanchez,WAS,QB,32,2,1,19,35,138,0,3,1,8,8.00,0,0,0,0,0,0,1,0,0,0,0,0,0.3,65,0
589,MattSchaub,ATL,QB,37,3,0,5,7,20,0,0,1,0,0.00,0,1,1,-7,-7.00,0,1,0,0,0,0,0,1.1,67,0
599,DannyVitale,GNB,RB,25,5,0,0,0,0,0,0,0,0,0,0,2,1,2,2.00,0,0,0,0,0,0,0,1.2,151,0
602,BrandonWeeden,HOU,QB,35,1,0,0,0,0,0,0,1,-1,-1.00,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,71,0
605,JonathanWilliams,NOR,RB,24,3,0,0,0,0,0,0,3,0,0.00,0,1,1,1,1.00,0,0,0,0,0,0,0,1.1,152,0
607,JacobyBrissett,IND,QB,26,4,0,2,4,2,0,0,7,-7,-1.00,0,0,0,0,0,0,0,0,0,0,0,-1,-0.6,73,0
